OTU	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_1659	Fungi	 Ascomycota	 Sordariomycetes	 unidentified	 Phomatosporaceae	 Phomatospora	 Phomatospora biseriata
OTU_607	Fungi	 Ascomycota	 Lecanoromycetes	 Pertusariales	 Icmadophilaceae	 Siphulella	 Siphulella coralloidea
OTU_954	Fungi	 Ascomycota	 Eurotiomycetes	 Chaetothyriales	 unidentified	 Neophaeococcomyces	 Neophaeococcomyces catenatus
OTU_215	Fungi	 Basidiomycota	 Tremellomycetes	 Filobasidiales	 Piskurozymaceae	 Solicoccozyma	 Solicoccozyma cf. aeria
OTU_428	Fungi	 Ascomycota	 Sordariomycetes	 Hypocreales	 Clavicipitaceae	 Metapochonia	 Metapochonia bulbillosa
OTU_339	Fungi	 Ascomycota	 Saccharomycetes	 Saccharomycetales	 unidentified	 Candida	 Candida sp. LCF-90
OTU_1356	Fungi	 Mucoromycota	 unidentified	 Mucorales	 Rhizopodaceae	 Rhizopus	 Rhizopus sp. GR3-18
OTU_201	Fungi	 Ascomycota	 Lecanoromycetes	 Ostropales	 Graphidaceae	 Graphis	 Graphis koratensis
OTU_187	Fungi	 Ascomycota	 unidentified	 unidentified	 unidentified	 unidentified	 Ascomycota sp. PDD-23b-3
OTU_1552	Fungi	 Ascomycota	 Dothideomycetes	 Capnodiales	 Mycosphaerellaceae	 Nothophaeocryptopus	 Nothophaeocryptopus gaeumannii
OTU_417	Fungi	 Ascomycota	 Sordariomycetes	 Glomerellales	 Plectosphaerellaceae	 Plectosphaerella	 Plectosphaerella sp.
OTU_324	Fungi	 Ascomycota	 Arthoniomycetes	 Arthoniales	 Arthoniaceae	 Arthonia	 Arthonia sp. Se3
OTU_857	Fungi	 Ascomycota	 Sordariomycetes	 Hypocreales	 Clavicipitaceae	 Metarhizium	 Metarhizium marquandii
OTU_375	Fungi	 Ascomycota	 Leotiomycetes	 Helotiales	 Sclerotiniaceae	 unidentified	 Sclerotiniaceae sp.
OTU_2003	Fungi	 Basidiomycota	 Agaricomycetes	 Cantharellales	 unidentified	 unidentified	 uncultured Minimedusa
OTU_724	Fungi	 Basidiomycota	 Agaricomycetes	 Sebacinales	 unidentified	 unidentified	 uncultured Sebacinales
