OTU	X02_0101	X02_0102	X02_0103	X02_0104	X02_0205	X02_0206	X02_0207	X02_0208	X02_0309	X02_0310	X02_0311	X02_0312	X04_0101	X04_0102	X04_0103	X04_0104	X04_0205	X04_0206	X04_0207	X04_0208	X04_0309	X04_0310	X04_0311	X04_0312
OTU391	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU396	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	3	0
OTU397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0
OTU4	1351	3027	7077	66	1480	14	2988	1171	1920	0	650	1379	14	25	55	0	36	12	15	46729	0	0	0	11
OTU40	7369	0	0	228	0	50	272	0	0	0	0	0	0	0	0	0	0	0	1325	0	0	0	0	0
OTU401	0	0	0	2	0	28	0	0	0	0	0	0	0	0	0	22	3	0	0	0	0	0	8	0
OTU406	31	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
OTU41	0	0	0	0	0	0	0	504	0	0	0	0	5807	130	0	0	362	60	0	2	0	1140	641	105
OTU412	0	0	2	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0
OTU413	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU415	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16131	0	0	0	0	0
OTU429	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU43	0	0	456	128	5703	288	1815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU430	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU431	8	4	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU432	0	5	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU436	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU443	0	0	2	0	0	0	0	0	0	2	0	0	8	0	0	0	0	0	0	4	0	0	0	0
OTU444	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0
OTU449	0	0	0	0	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU45	0	6053	343	770	0	394	0	0	0	0	141	0	0	0	0	0	0	0	0	3	0	0	0	0
OTU450	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU452	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU453	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU456	0	6	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU459	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8157	0
OTU463	0	2	0	0	2	13	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU466	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU47	0	0	13	0	0	0	15634	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU48	0	0	0	1043	0	0	14263	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
OTU480	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU482	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU494	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
OTU5	0	0	0	0	0	0	6	0	0	0	7	0	0	9	0	0	64983	20	0	0	45931	0	0	0
OTU512	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU518	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU52	0	0	0	5946	0	0	0	0	0	0	6	0	0	4356	0	0	0	0	0	0	0	607	0	0
OTU53	0	1112	1105	185	1570	0	943	0	0	439	0	0	11	7	0	824	4	0	2	0	0	0	28	2567
OTU532	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU54	6200	0	0	0	3139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU540	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU55	0	0	3277	0	0	0	0	0	0	0	0	0	0	0	0	0	104	1520	4190	0	0	0	0	0
OTU553	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
OTU56	343	2288	0	55	0	3220	113	0	0	3834	2011	0	0	0	0	0	0	0	0	2	0	0	0	0
OTU568	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU569	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU57	0	0	929	0	0	0	0	0	0	0	0	0	0	0	0	0	149	1508	4053	0	0	0	0	0
OTU576	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
OTU58	0	1036	0	1890	3	764	114	2055	0	1381	0	557	0	0	0	0	0	0	0	0	0	0	0	0
OTU59	0	0	0	0	0	0	0	0	0	0	0	0	4226	123	45	0	497	52	73	313	0	6	0	0
